"name","run.no.in.std.order","run.no","run.no.std.rp","storage_nodes","forwarders","request","files","spatiality"
"115","111",115,"111","8","2","4","individual","strided"
"116","71",116,"71","4","8","4","shared","contiguous"
"117","160",117,"160","1","8","4","shared","strided"
"118","50",118,"50","4","2","1","shared","contiguous"
"119","141",119,"141","8","2","1","shared","strided"
"120","168",120,"168","8","1","8","shared","strided"
"121","170",121,"170","4","2","8","shared","strided"
"122","158",122,"158","4","4","4","shared","strided"
"123","165",123,"165","8","16","4","shared","strided"
"124","81",124,"81","8","2","8","shared","contiguous"
"125","124",125,"124","1","2","8","individual","strided"
"126","132",126,"132","8","8","8","individual","strided"
"127","11",127,"11","4","8","1","individual","contiguous"
"128","95",128,"95","4","2","1","individual","strided"
"129","143",129,"143","4","4","1","shared","strided"
"130","77",130,"77","4","1","8","shared","contiguous"
"131","104",131,"104","4","16","1","individual","strided"
"132","17",132,"17","4","1","4","individual","contiguous"
"133","155",133,"155","4","2","4","shared","strided"
"134","64",134,"64","1","2","4","shared","contiguous"
"135","157",135,"157","1","4","4","shared","strided"
"136","19",136,"19","1","2","4","individual","contiguous"
"137","106",137,"106","1","1","4","individual","strided"
"138","138",138,"138","8","1","1","shared","strided"
"139","162",139,"162","8","8","4","shared","strided"
"140","153",140,"153","8","1","4","shared","strided"
"141","73",141,"73","1","16","4","shared","contiguous"
"142","75",142,"75","8","16","4","shared","contiguous"
"143","135",143,"135","8","16","8","individual","strided"
"144","149",144,"149","4","16","1","shared","strided"
"145","91",145,"91","1","1","1","individual","strided"
"146","76",146,"76","1","1","8","shared","contiguous"
"147","55",147,"55","1","8","1","shared","contiguous"
"148","92",148,"92","4","1","1","individual","strided"
"149","137",149,"137","4","1","1","shared","strided"
"150","177",150,"177","8","8","8","shared","strided"
"151","161",151,"161","4","8","4","shared","strided"
"152","78",152,"78","8","1","8","shared","contiguous"
"153","117",153,"117","8","8","4","individual","strided"
"154","61",154,"61","1","1","4","shared","contiguous"
"155","179",155,"179","4","16","8","shared","strided"
"156","83",156,"83","4","4","8","shared","contiguous"
"157","116",157,"116","4","8","4","individual","strided"
"158","147",158,"147","8","8","1","shared","strided"
"159","26",159,"26","4","8","4","individual","contiguous"
"160","47",160,"47","4","1","1","shared","contiguous"
"161","66",161,"66","8","2","4","shared","contiguous"
"162","82",162,"82","1","4","8","shared","contiguous"
"163","58",163,"58","1","16","1","shared","contiguous"
"164","12",164,"12","8","8","1","individual","contiguous"
"165","154",165,"154","1","2","4","shared","strided"
"166","127",166,"127","1","4","8","individual","strided"
"167","133",167,"133","1","16","8","individual","strided"
"168","23",168,"23","4","4","4","individual","contiguous"
"169","41",169,"41","4","8","8","individual","contiguous"
"170","98",170,"98","4","4","1","individual","strided"
"171","4",171,"4","1","2","1","individual","contiguous"
"172","176",172,"176","4","8","8","shared","strided"
"173","16",173,"16","1","1","4","individual","contiguous"
"174","145",174,"145","1","8","1","shared","strided"
"175","38",175,"38","4","4","8","individual","contiguous"
"176","180",176,"180","8","16","8","shared","strided"
"177","87",177,"87","8","8","8","shared","contiguous"
"178","150",178,"150","8","16","1","shared","strided"
"179","39",179,"39","8","4","8","individual","contiguous"
"180","173",180,"173","4","4","8","shared","strided"
